location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:33,Hi! Ich bin neu hier!,嗨！我是新来的！,,,DIA_Caine_Hallo.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:43,Hi! Ich bin neu hier!,嗨！我是新来的！,,,DIA_Caine_Hallo_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:44,"Ich bin Caine. Schüler von Cor Kalom. Du hast sicher schon von ihm gehört, richtig?",我．．．我．．．我叫凯恩，是寇尔卡隆的学生。你一定听说过他吧？,,,DIA_Caine_Hallo_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:47,Nein.,不。,,,DIA_Caine_Hallo.DIA_Caine_Hallo_Nein,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:48,Ja.,是。,,,DIA_Caine_Hallo.DIA_Caine_Hallo_Ja,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:53,Ja.,是。,,,DIA_Caine_Hallo_Ja_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:54,"Dann weißt du ja, dass er hier der zweitwichtigste Mann nach Y'Berion ist.",那么你知道他是营地的二把手了．．．仅次于贝理昂。,,,DIA_Caine_Hallo_Ja_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:60,Nein.,不。,,,DIA_Caine_Hallo_Nein_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:61,"Nicht?! Du bist wohl wirklich noch nicht lange hier, was?",不？！你到这儿不长时间，是吗？,,,DIA_Caine_Hallo_Nein_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:62,"Cor Kalom ist der zweitwichtigste Mann nach Y'Berion. Er entscheidet, wer als Novize bei uns aufgenommen wird.",寇尔卡隆是仅次于贝理昂的第二个人。他决定着谁可以作为一名见习修士加入我们。,,,DIA_Caine_Hallo_Nein_13_02,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:132,Und was tust du?,你是做什么的？,,,DIA_Caine_Job.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:145,Und was tust du?,你是做什么的？,,,DIA_Caine_Job_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:146,Ich helfe meinem Meister bei der Aufbereitung der alchimistischen Substanzen.,我．．．我．．．我帮助我的主人准备炼金药剂。,,,DIA_Caine_Job_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:147,Im wesentlichen Sumpfkraut und Minecrawlersekret. Vor allem das Sekret braucht er dringend.,大部分是沼泽烟草和矿坑爬行者的分泌物。分泌物的需求很紧迫。,,,DIA_Caine_Job_13_02,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:159,Wo bekomme ich das Sekret der Minecrawler?,我在哪儿能得到矿坑爬行者的分泌物？,,,DIA_Caine_WoSekret.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:172,Wo bekomme ich das Sekret der Minecrawler?,我在哪儿能得到矿坑爬行者的分泌物？,,,DIA_Caine_WoSekret_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:173,Crawler findest du in der Alten Mine. Aber du musst wissen wie du ihnen das Sekret abzapfst.,你有旧营地里能找到矿坑爬行者。但是，我必须知道怎样取得分泌物。,,,DIA_Caine_WoSekret_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:174,"Falls du wirklich vorhast, dich mit den Biestern anzulegen, sprich besser vorher mit einem der Templer, der Erfahrung hat. Zum Beispiel Gor Na Drak.",如果你真的想与那些野兽作战，你最好去找一个有经验的圣战士谈谈。如正神德克。,,,DIA_Caine_WoSekret_13_02,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:175,Er ist jeden Tag zwischen unserem Lager und der Alten Mine unterwegs. Morgens triffst du ihn unten am Labor.,他每天都在我们的营地与旧矿坑之间溜达。上午你可以在研究室找到他。,,,DIA_Caine_WoSekret_13_03,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:187,Was kannst du mir noch über deinen Meister erzählen?,你给我讲讲你主人更多的事吗？,,,DIA_Caine_AddInfoKalom.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:200,Was kannst du mir noch über deinen Meister erzählen?,你给我讲讲你主人更多的事吗？,,,DIA_Caine_AddInfoKalom_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:201,"Er ist nicht wie die anderen Gurus. Er getattet jedem, ihn anzusprechen, aber NIEMANDEM seine kostbare Zeit zu verschwenden.",他．．．他不像．．．其他的导师。每个人都可以和他说话，但是没有人可以浪费他宝贵的时间。,,,DIA_Caine_AddInfoKalom_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:243,Wie komme ich an das Rezept von Kalom?,我怎样才能拿到寇尔卡隆的处方？,,,Nov_1301_Caine_CHEST.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:256,Wie komme ich an das Rezept von Kalom?,我怎样才能拿到寇尔卡隆的处方？,,,Nov_1301_Caine_CHEST_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:257,Gar nicht. Er hält es in seiner Truhe verschlossen. Das rückt er niemals raus.,你不能的。他把它锁在了一只箱子里，不会给任何人。,,,Nov_1301_Caine_CHEST_Info_13_02,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:33,Was machst du denn hier?,你在这里做什么？,,,DIA_Shrat_WhyHere.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:43,Was machst du denn hier?,你在这里做什么？,,,DIA_Shrat_WhyHere_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:44,"Habe ich dir erlaubt, mich anzusprechen?",我允许你和我说话了吗？,,,DIA_Shrat_WhyHere_02_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:45,"War nur'n Witz! Diese verdammten Spinner gehen mir gehörig auf den Sack, deswegen bin ich hier!",开玩笑！那些该死的疯子让我很不安，那就是我来这儿的原因！,,,DIA_Shrat_WhyHere_02_02,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:46,'Sprich mich nicht an!' - 'Bitte den Schläfer um Vergebung!' - 'Deine Mission ist von äußerster Dringlichkeit!',不要和我说话！－－愿沈睡者宽恕你！－－你的任务非常重要！,,,DIA_Shrat_WhyHere_02_03,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:47,"Das hält man ja im Kopf nicht aus - kein Wunder, dass die hier alle gaga sind.",它足能把一个人逼疯－－他们都疯了也不足为奇。,,,DIA_Shrat_WhyHere_02_04,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:48,Ich bin Shrat. Novize ersten Ranges - und das werde ich auch bleiben!,我叫史拉特，是一级见习修士－－我总是这样认为！,,,DIA_Shrat_WhyHere_02_05,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:60,Ich will der Bruderschaft beitreten - kannst du mir helfen?,我想加入兄弟会－－你能帮我吗？,,,DIA_Shrat_JoinPSI.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:73,Ich will der Bruderschaft beitreten - kannst du mir helfen?,我想加入兄弟会－－你能帮我吗？,,,DIA_Shrat_JoinPSI_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:74,"Du willst bei dem Laden hier mitmachen? Ich überleg gerade, wie ich hier wegkomme.",我想加入这个地方？实际上我正在考虑怎样逃出此地。,,,DIA_Shrat_JoinPSI_02_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:75,"Wir könnten ein bisschen durch die Kolonie ziehen. Ein paar Einfaltspinsel ausplündern, ein bisschen Erz sammeln - was denkst du?",我们可以在殖民地里闲逛。从一些笨蛋那里收集矿石－－你认为如何？,,,DIA_Shrat_JoinPSI_02_02,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:88,Lass uns zusammen losziehen! Komm mit!,让我们一起走吧！跟我来！,,,DIA_Shrat_ComeWithMe.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:101,Lass uns zusammen losziehen! Komm mit!,让我们一起走吧！跟我来！,,,DIA_Shrat_ComeWithMe_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:102,Das ist doch mal ein Wort! Auf geht's!,那就是我现在最想听的！我们走！,,,DIA_Shrat_ComeWithMe_02_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:118,Hier trennen sich unsere Wege - ich werde von hier aus alleine weiterziehen.,我们要在这儿分开了－－我要独自走了。,,,DIA_Shrat_LeaveMe.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:131,Hier trennen sich unsere Wege - ich werde von hier aus alleine weiterziehen.,我们要在这儿分开了－－我要独自走了。,,,DIA_Shrat_LeaveMe_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1356_Shrat.d:132,Na gut. Ich werd' zurück in mein Versteck im Sumpf gehen. Pass gut auf dich auf!,好。我会回到沼泽地中我的藏身之处。保重！,,,DIA_Shrat_LeaveMe_02_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:29,"Du bist Talas, der überfallen wurde",你是塔拉斯，那个被抢劫的人。,,,Nov_1300_Talas_UR.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:43,"Du bist Talas, der überfallen wurde.",你是塔拉斯，那个被抢劫的人。,,,Nov_1300_Talas_UR_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:44,"Lass mich in Ruhe, ich will nicht darüber reden!",让我单独呆着吧，我不想谈论了！,,,Nov_1300_Talas_UR_Info_02_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:54,"Ich kann dir helfen, den Almanach zurückbringen.",我能帮你把历书带回来。,,,Nov_1300_Talas_HELP.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:68,"Ich kann dir helfen, den Almanach zurückbringen.",我能帮你把历书带回来。,,,Nov_1300_Talas_HELP_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:69,Wirklich? Goblins haben mich überfallen! Und jetzt soll ich wieder zu ihnen gehen und das Buch zurückbringen!,真的？我被哥布林抢劫了！现在我想去那儿把那本书拿回来！,,,Nov_1300_Talas_HELP_Info_02_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:70,Ich mache dir einen Vorschlag. Ich zeige dir den Weg zum Almanach und du holst ihn zurück.,我有一个建议：我会带你去取历书的，所以你能把它夺回来。,,,Nov_1300_Talas_HELP_Info_02_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:73,Einverstanden,好。,,,Nov_1300_Talas_HELP.Nov_1300_Talas_HELP_OK,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:74,Das kostet dich 30 Erz,那会花费你３０个矿石。,,,Nov_1300_Talas_HELP.Nov_1300_Talas_HELP_BRING,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:75,Gib mir 50 Erz und ich bin dabei,给我５０个矿石我就加入。,,,Nov_1300_Talas_HELP.Nov_1300_Talas_HELP_MORE,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:80,Einverstanden.,好。,,,Nov_1300_Talas_HELP_OK_15_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:81,"In Ordnung, wir können losgehen, sobald du bereit bist.",好，只要你准备好了，我们就可以离开了。,,,Nov_1300_Talas_HELP_OK_02_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:87,Das kostet dich 30 Erz.,那会花费你３０个矿石。,,,Nov_1300_Talas_HELP_BRING_15_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:88,"In Ordnung, wir können losgehen, sobald du bereit bist.",好，只要你准备好了，我们就可以离开了。,,,Nov_1300_Talas_HELP_BRING_02_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:96,Gib mir 50 Erz und ich bin dabei.,给我５０个矿石我就加入。,,,Nov_1300_Talas_HELP_MORE_15_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:97,"Was? Du beraubst mich. Nun gut, sag mir Bescheid, wenn du so weit bist.",什么？那是抢劫！那么好吧，准备好了就告诉我吧。,,,Nov_1300_Talas_HELP_MORE_02_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:110,"Ich bin bereit, wir können losgehen",我准备好了，我们可以走了。,,,Nov_1300_Talas_READY.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:124,"Ich bin bereit, wir können losgehen.",我准备好了，我们可以走了。,,,Nov_1300_Talas_READY_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:125,In Ordnung. Folge mir.,好，跟我走。,,,Nov_1300_Talas_READY_Info_02_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:154,Hinter dieser Brücke ist die Höhle dieser verdammten kleinen Biester! Pass auf dich auf!,那些可恶的小畜生住在这座桥后的一个洞里！要小心！,,,Nov_1300_Talas_BRIDGE_Info_02_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:155,Du kommst nicht mit?,你不是要和我一起去吗？,,,Nov_1300_Talas_BRIDGE_Info_15_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:156,Ich werde hier auf dich warten und... ähem... unseren Rückzug decken,我在这儿等着．．．掩护你。,,,Nov_1300_Talas_BRIDGE_Info_02_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:181,Du hast den Almanach! Gut gemacht. Gehen wir wieder zurück ins Lager.,你拿到历书了！很好！我们回营地吧。,,,Nov_1300_Talas_BACK_Info_02_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:211,Hier sind wir wieder. Am besten du bringst den Almanach gleich zu Cor Kalom.,我们回来了。你最好马上把历书拿给寇尔卡隆。,,,Info_Talas_RETURNED_02_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:212,"Pass nur auf, dass du dich nicht überarbeitest.",小心自己的安全！,,,Info_Talas_RETURNED_15_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:213,"Keine Angst, darauf achte ich sogar sehr! Mach dir um mich keine Sorgen.",不用担心，我不会有事的！不需要为我担忧。,,,Info_Talas_RETURNED_02_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:229,Cor Angar schickt mich.,寇尔安卡派我来。,,,Nov_1300_Talas_OGY.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:242,"Cor Angar schickt mich. Er sagt, du sollst mich zum Ork-Friedhof bringen, damit ich dort Baal Lukor und seine Templer suchen kann.",寇尔安卡派我来。他说你会带我去兽人墓地，那样我就可以找到巴尔．路卡和他的圣战士们了。,,,Nov_1300_Talas_OGY_15_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:243,Schon wieder bin ich der Laufbursche. Verdammt!!! Ich hätte den Almanach einfach nicht verlieren dürfen...,这样，我又要当办事员了。可恶！我真不应该丢失了那本历书．．．,,,Nov_1300_Talas_OGY_02_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:244,"Na gut, komm mit.",那么好吧，跟我来吧。,,,Nov_1300_Talas_OGY_02_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:270,"Auch hier werde ich dich nicht über die Brücke begleiten, denn ich bin nicht lebensmüde.",我不会带你穿过这座桥的，因为我不想自杀。,,,Nov_1300_Talas_BACKAGAIN_Info_02_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:271,"Du musst verrückt sein, dort hinein zu gehen, wenn selbst Baal Lukor und seine Templer nicht wieder herauskamen.",你到这儿来一定是疯了，巴尔．路卡和圣战士们是逃不出去的。,,,Nov_1300_Talas_BACKAGAIN_Info_02_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1300_Talas.d:272,"Das werden wir ja sehen. Geh zurück zum Lager, ich komme nach.",我们会看到发生了什么事。然后返回营地。稍后我就会到。,,,Nov_1300_Talas_BACKAGAIN_Info_15_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:33,Was macht ihr hier?,你在这里做什么？,,,DIA_Viran_What.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:43,Was macht ihr hier?,你在这里做什么？,,,DIA_Viran_What_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:44,"Wir sammeln das Sumpfkraut, das unsere Brüder dann zu Rauchwaren verarbeiten.",我们正在收集沼泽烟草。,,,DIA_Viran_What_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:45,"Es ist ziemlich gefährlich, im Sumpf zu sammeln, aber das Zeug wächst nun mal nur hier. Ist auch gut so.",在沼泽地里收集沼泽烟草是十分危险的，但是它们只会生长在这里。那确实是很好的东西。,,,DIA_Viran_What_07_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:46,Warum?,为什么？,,,DIA_Viran_What_15_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:47,"Weil dann die beiden anderen Lager nicht rankommen. Wir sind die Einzigen in der Kolonie, die Sumpfkraut ernten können.",因为其他两个营地不会得到它的。我们是唯一能拣到沼泽烟草的营地。,,,DIA_Viran_What_07_04,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:48,In den beiden anderen Lagern können wir es tauschen - und WIR bestimmen den Preis.,我可以和其他两个营地做它的交易－－我们可以设定价格。,,,DIA_Viran_What_07_05,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:60,Baal Orun schickt mich. Ich soll die gesamte Ernte zu Kalom bringen.,巴尔．欧容派我来。我要把全部的收获带给寇尔卡隆。,,,DIA_Viran_FetchWeed.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:73,Baal Orun schickt mich. Ich soll die gesamte Ernte zu Kalom bringen.,巴尔．欧容派我来。我要把全部的收获带给寇尔卡隆。,,,DIA_Viran_FetchWeed_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:74,"So einfach stellst du dir das vor, was?",你以为那么容易吗？,,,DIA_Viran_FetchWeed_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:75,Da kann ja jeder kommen. 'Baal Orun schickt mich' - und schwupps - weg ist das ganze Kraut.,任何人都能看出来。’巴尔．欧容派我来’－－然后全部的沼泽烟草都没了。,,,DIA_Viran_FetchWeed_07_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:78,"Geh doch zu ihm und frag ihn, wenn du mir nicht glaubst!",如果你不相信我，那么就去问他吧！,,,DIA_Viran_FetchWeed.DIA_Viran_FetchWeed_GotoHim,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:79,Baal Orun schickt mich aber wirklich!,但是，真的是巴尔．欧容派我来的！,,,DIA_Viran_FetchWeed.DIA_Viran_FetchWeed_Really,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:84,Baal Orun schickt mich aber wirklich!,但是，真的是巴尔．欧容派我来的！,,,DIA_Viran_FetchWeed_Really_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:85,Natürlich.,一定。,,,DIA_Viran_FetchWeed_Really_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:90,"Geh doch zu ihm und frag ihn, wenn du mir nicht glaubst!",如果你不相信我，那么就去问他吧！,,,DIA_Viran_FetchWeed_GotoHim_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:91,"Ich hab' 'ne bessere Idee. Du beweist mir deine Loyalität, indem du eine kleine Aufgabe für mich erledigst!",我有一个好主意。你可以为我们做件小事来证明你的忠诚！,,,DIA_Viran_FetchWeed_GotoHim_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:106,Und was soll ich machen?,你想让我做什么？,,,DIA_Viran_Bloodflies.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:119,Und was soll ich machen?,你想让我做什么？,,,DIA_Viran_Bloodflies_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:120,"Ist nur 'ne Kleinigkeit. Die Arbeit im Sumpf ist nicht ganz ungefährlich, und die verdammten Blutfliegen tun ihr übriges dazu.",没什么。在沼泽地中干活，会很危险，那儿有许多可恶的小飞虫。,,,DIA_Viran_Bloodflies_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:121,Ohne sie wäre das Arbeiten viel leichter! Wir verstehen uns?,如果没有它们，干活会容易许多！你来吗？,,,DIA_Viran_Bloodflies_07_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:139,Ich seh weit und breit keine Blutfliegen mehr.,我没有看见任何小飞虫。,,,DIA_Viran_Running.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:152,Ich seh' weit und breit keine Blutfliegen mehr.,我没有看见任何小飞虫。,,,DIA_Viran_Running_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:157,Da sind aber noch Viecher innerhalb von zwanzig Schritt!,但是在二十步内有更多的臭虫！,,,DIA_Viran_Running_07_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:158,So leicht kommst du mir nicht davon!,你不会那么容易动身的！,,,DIA_Viran_Running_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:162,Weit und Breit keins von den Biestern mehr zu sehen. Das war ganze Arbeit!,看不到那么多臭虫了。你做得很好！,,,DIA_Viran_Running_07_02,,
