location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:163,"Wer sich so abplagt, ist entweder auf unserer Seite oder ein kompletter Vollidiot!",这样做事的人，既是和我们一边的，又是一个白痴！,,,DIA_Viran_Running_07_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:164,"Und ein Idiot wäre zu dumm, um mich aufs Kreuz zu legen, richtig?",一个白痴是没有足够聪明才智来愚弄我，对吧？,,,DIA_Viran_Running_07_04,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:165,"Hier, nimm die Ernte und bring sie zu Cor Kalom.",来，拿着烟草并且将它交给寇尔卡隆。,,,DIA_Viran_Running_07_05,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:166,"Falls er meckert, es sei zu wenig, sag ihm, er soll seinen Hintern hier selber hinbewegen, dann kann er mal sehen, wie viel Arbeit das ist.",如果他抱怨它们不够多，那么告诉他，让他自己来采吧，体会一下工作的艰辛。,,,DIA_Viran_Running_07_06,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:198,Wie steht's mit der Sammelei?,采摘得如何？,,,DIA_Viran_Perm.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:211,Wie steht's mit der Sammelei?,采摘得如何？,,,DIA_Viran_Perm_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:212,"Ja, ja, verarsch mich ruhig. Ich bin mir sicher, du bekommst bessere Aufgaben von den Gurus.",还好，你真会取笑我。我相信你会从导师那里得到份好工作的。,,,DIA_Viran_Perm_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:213,"Na, immerhin muss ich mich nicht selbst bücken. Das übernimmt das Fußvolk - hee, hee, hee.",嗯，至少我不需要做那么脏的工作。佣兵们会去做的－－嘿、嘿。,,,DIA_Viran_Perm_07_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:225,Ich soll nochmal alles Kraut zu Cor Kalom bringen.,我要再一次把所有的沼泽烟草带给寇尔卡隆。,,,DIA_Viran_RipOff.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:238,Ich soll noch mal alles Kraut zu Cor Kalom bringen.,我要再一次把所有的沼泽烟草带给寇尔卡隆。,,,DIA_Viran_RipOff_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:239,Schon wieder?,再一次？,,,DIA_Viran_RipOff_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:240,"Jetzt erzähl mir bloß nicht, ich soll alle Sumpfhaie für dich umbringen - ich hab' wenig Zeit.",现在你不要告诉我要杀死全部的沼泽巨虫，好吗？我真的没有太多的时间了。,,,DIA_Viran_RipOff_15_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1302_Viran.d:241,"Ist ja schon gut! Hier, nimm das verdammte Kraut!",好，好！给你，拿走这些该死的沼泽烟草吧！,,,DIA_Viran_RipOff_07_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:33,Hi! Ich bin neu hier.,嘿！我是新来的。,,,DIA_Nyras_Hallo.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:46,Hi! Ich bin neu hier.,嘿！我是新来的。,,,DIA_Nyras_Hallo_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:47,"Der Schläfer sei mit dir, Fremder!",愿沈睡者与你同在，陌生人！,,,DIA_Nyras_Hallo_03_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:59,Was kannst du mir über diesen Ort sagen?,你能给我讲讲这个地方的情况吗？,,,DIA_Nyras_Ort.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:73,Was kannst du mir über diesen Ort sagen?,你能给我讲讲这个地方的情况吗？,,,DIA_Nyras_Ort_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:74,"Nun - die Gurus sind die wichtigsten Leute hier. Sie verbreiten die Lehre des Schläfers, und teilen den Novizen die Visionen unseres Meisters mit.",好。在这里，导师们是最重要的人。他们把沈睡者的话通过我们主人的预言传播给见习修士们。,,,DIA_Nyras_Ort_03_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:75,"Er selbst ist natürlich viel zu erschöpft, um immer zu allen zu reden.",当然，他太累了，不会亲自告诉每个人的。,,,DIA_Nyras_Ort_03_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:76,Aber an manchen Tagen spricht er auf dem Tempelplatz zu uns und offenbart uns die heiligen Worte des Schläfers.,但是有时，他会在神殿的庭院里和我们说教，展现沈睡者圣洁的训教。,,,DIA_Nyras_Ort_03_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:79,Berichte mir von den heiligen Worten des großen Schläfers. ,告诉我那个伟大的沈睡者的圣洁的训教。,,,DIA_Nyras_Ort.DIA_Nyras_Ort_Holy,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:80,Und was sagt er so?,那么他说什么？,,,DIA_Nyras_Ort.DIA_Nyras_Ort_Casual,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:85,Und was sagt er so?,那么他说什么？,,,DIA_Nyras_Ort_Casual_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:86,Der Schläfer weist uns unseren Weg. Aber davon versteht ein Ungläubiger wie du nichts!,沈睡者是给我们指路的。但是像你这样的无信仰者是不会明白的！,,,DIA_Nyras_Ort_Casual_03_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:92,Berichte mir von den heiligen Worten des großen Schläfers.,告诉我那个伟大的沈睡者的圣洁的训教。,,,DIA_Nyras_Ort_Holy_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:93,"ER sagt uns, was wir tun müssen, um die Freiheit zu erlangen.",他告诉我们，我们必须再一次去获得自由。,,,DIA_Nyras_Ort_Holy_03_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:94,"Y'Berion sagt, der Schläfer wird uns den Weg mitteilen, sobald wir in der Lage sind, ihn zu hören.",贝理昂说，只要我们能听他的话，沈睡者就会给我们指路的。,,,DIA_Nyras_Ort_Holy_03_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:95,"Er bereitet eine große Anrufung vor, in der er zusammen mit den besten Novizen mit dem Schläfer in Kontakt treten will.",他正在准备一次大型的祈祷，到时他会和一些最好的见习修士一起与沈睡者取得联系。,,,DIA_Nyras_Ort_Holy_03_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:96,"Cor Kalom unterstützt ihn dabei. Er ist Alchimist und braut Substanzen zusammen, die uns in einen schlafähnlichen Zustand versetzen.",寇尔卡隆支持他。他是一位炼金师，炼取能使我们进入睡眠状态的药剂。,,,DIA_Nyras_Ort_Holy_03_04,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:97,Nur in diesem Zustand - oder wenn du schläfst - kannst du die Gedanken des Schläfers empfangen.,你只有在这种状态下或睡觉时，才可以接收到沈睡者的想法。,,,DIA_Nyras_Ort_Holy_03_05,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:130,Verschwinde! Hier gibt es nichts für dich zu holen!,滚开！这儿没你的事！,,,Nov_1303_Nyras_GREET_Info_03_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:140,Ich bin auf der Suche nach dem Fokus,我在找魔法源。,,,Nov_1303_Nyras_LEAVE.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:153,Ich bin auf der Suche nach dem Fokus.,我在找魔法源。,,,Nov_1303_Nyras_LEAVE_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:154,Da kommst du leider zu spät. Ich habe ihn bereits gefunden!,很不幸，你来晚了。我已经找到它了！,,,Nov_1303_Nyras_LEAVE_Info_03_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:155,Und ich werde ihn für mich selbst behalten!,我会自己留着的！,,,Nov_1303_Nyras_LEAVE_Info_03_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:156,Der Schläfer sprach heute Nacht zu mir und machte mich zu seinem alleinigen Werkzeug!,沈睡者昨天晚上告诉我，让我做他唯一的信徒！,,,Nov_1303_Nyras_LEAVE_Info_03_04,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:157,"Nun werde nur noch ich dem Schläfer dienen. Keine Templer, keine Gurus mehr!",现在我只为沈睡者服务。不是圣战士或导师！,,,Nov_1303_Nyras_LEAVE_Info_03_05,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:158,NUUUUR ICHHHH ALEEEEEINEEEEEEE!!!!!!!!!,只．．．有．．．我．．．独自一人！！！,,,Nov_1303_Nyras_LEAVE_Info_03_06,,
Scripts/content/Story/MISSIONS/DIA_Nov_1303_Nyras.d:159,STIIIIIIRB!!!!!,去死吧！,,,Nov_1303_Nyras_LEAVE_Info_03_07,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:35,Baal Orun schickt mich. Ich soll hier alles Sumpfkraut abholen.,巴尔．欧容派我来。我要收集全部的沼泽烟草。,,,DIA_Balor_FetchWeed.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:48,Baal Orun schickt mich. Ich soll hier alles Sumpfkraut abholen.,巴尔．欧容派我来。我要收集全部的沼泽烟草。,,,DIA_Balor_FetchWeed_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:49,"Gut. Dann muss ich nicht selber laufen. Hier, nimm.",好。那么我不需要自己去了。给，拿着。,,,DIA_Balor_FetchWeed_01_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:50,"Vergiss nicht, zu Viran auf der anderen Seite vom Sumpf zu gehen, wenn du nicht schon da warst.",如果你还没有去过沼泽地另一边的维兰恩，那么不要忘记去看看。,,,DIA_Balor_FetchWeed_01_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:51,"Sonst könnte deine Lieferung ein bisschen mickrig ausfallen, und alle würden denken, du hast die Hälfte verhökert, hee, hee.",否则你的成果会少许多，人们可能会以为你卖了一半呢！嘿，嘿！,,,DIA_Balor_FetchWeed_01_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:78,Wem sollte ich das Kraut denn schon verhökern?,我能把沼泽烟草卖给谁呢？,,,DIA_Balor_SellUnder.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:91,Wem sollte ich das Kraut denn schon verhökern?,我能把沼泽烟草卖给谁呢？,,,DIA_Balor_SellUnder_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:92,"Oha! Ich habe dich auf Ideen gebracht, häh?",哦－哦，现在我可以把思想加入到你的头脑里去，是不是？,,,DIA_Balor_SellUnder_01_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:95,"Vergiß es, war nur so'n Gedanke.",算了吧，那只是一种想法。,,,DIA_Balor_SellUnder.DIA_Balor_SellUnder_ForgetIt,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:96,Wenn du einen Abnehmer weißt - wir könnten Halbe-Halbe machen.,如果你认识某人－－我们可以平分。,,,DIA_Balor_SellUnder.DIA_Balor_SellUnder_HalfHalf,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:97,Nein - sag mal - an wen?,不－－告诉我，谁？,,,DIA_Balor_SellUnder.DIA_Balor_SellUnder_ComeOn,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:102,"Vergiss es, war nur so'n Gedanke.",算了吧，那只是一种想法。,,,DIA_Balor_SellUnder_ForgetIt_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:108,Wenn du einen Abnehmer weißt - wir könnten Halbe-Halbe machen.,如果你认识某人－－我们可以平分。,,,DIA_Balor_SellUnder_HalfHalf_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:109,"Nun, ich wüsste da jemanden im Neuen Lager, den würde so 'ne Menge Kraut schon interessieren ...",嗯，我认识新营地的一个人，他会对它们感兴趣的．．．,,,DIA_Balor_SellUnder_HalfHalf_01_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:110,"Aber wenn dich die Gurus dabei erwischen, machen sie Sumpfhaifutter aus dir! Ich weiß von nichts, klar?!",但是如果导师们为此抓住了你，他们会将你丢去喂沼泽巨虫！我什么都不知道，好吗？！,,,DIA_Balor_SellUnder_HalfHalf_01_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:117,Nein - sag mal - an wen?,不－－告诉我，谁？,,,DIA_Balor_SellUnder_ComeOn_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:118,"Du hast doch was vor! Ich sage dir: Wenn das Kraut nicht bei Cor Kalom ankommt, kriegen wir beide mächtigen Ärger!",你有些什么想法？我来告诉你：如果这些东西没有到寇尔卡隆那里，我们两个就陷入真正的麻烦！,,,DIA_Balor_SellUnder_ComeOn_01_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:133,Okay - wer ist der Abnehmer im Neuen Lager?,好－－谁是新营地的买家？,,,DIA_Balor_TellDealer.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:146,Okay - wer ist der Abnehmer im Neuen Lager?,好－－谁是新营地的买家？,,,DIA_Balor_TellDealer_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:147,Ich verrat dir den Namen und du bist mit dem Kraut über alle Berge - so läuft das nicht!,你以为我会告诉你他的名字，让你带着这些沼泽烟草逃走吗？没那么简单！,,,DIA_Balor_TellDealer_01_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:148,Ich will 50 Erz Vorschuss sehen. Dann sehen wir weiter.,我想要５０个矿石作为预付款，接着我们才会开始干活。,,,DIA_Balor_TellDealer_01_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:151,Vergiß es.,算了吧。,,,DIA_Balor_TellDealer.DIA_Balor_TellDealer_ForgetIt,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:152,"50 sind fair - hier, nimm.",５０个很公平，这是你的东西。,,,DIA_Balor_TellDealer.DIA_Balor_TellDealer_Pay,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:157,"50 sind fair - hier, nimm.",５０个很公平，这是你的东西。,,,DIA_Balor_TellDealer_Pay_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:160,Gut... Hör zu. Sein Name ist Cipher. Du findest ihn meistens in der Kneipe auf dem See.,好．．．听着，他的名字的密码。你可能会在湖上的酒吧里找到他 。,,,DIA_Balor_TellDealer_Pay_01_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:161,Sei vorsichtig und lass dich nicht über's Ohr hauen.,小心点，不要让别人骗了你。,,,DIA_Balor_TellDealer_Pay_01_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:175,"Ich sehe keine 50. Ich will 50 und keinen Brocken weniger, klar?",我没有见到５０个矿石。是５０个矿石，而不是一小块金块！,,,DIA_Balor_TellDealer_Pay_NoOre_01_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:182,Vergiss es.,算了吧。,,,DIA_Balor_TellDealer_ForgetIt_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:183,"Denk bloß nicht, du könntest einfach ins Neue Lager spazieren und es irgendwem andrehen! Wenn du den richtigen Namen nicht kennst, wirst du es nie los.",不要以为你能够简单的进入新营地，并把它卖掉！如果你不知道正确的名字，你永远也无法卖掉它。,,,DIA_Balor_TellDealer_ForgetIt_01_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:184,"Es sei denn, du lässt dir von einem Banditen über die Rübe hauen.",除非你让一些盗贼打了。,,,DIA_Balor_TellDealer_ForgetIt_01_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:197,Ich soll nochmal alles Kraut zu Cor Kalom bringen.,我要为寇尔卡隆运下一批货。,,,DIA_Balor_RipOff.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:210,Da bin ich wieder. Ich soll die nächste Ladung abholen.,是我，我回来了。我要收取下一次的货。,,,DIA_Balor_RipOff_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:213,Na klar! Und sie wieder ans Neue Lager verhökern!,当然！到 新营地再卖掉它?,,,DIA_Balor_RipOff_01_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:214,Ich will 50 Erz sehen - mein üblicher Vorschuss.,我想看到５０个矿石，这是我平常的预付款。,,,DIA_Balor_RipOff_01_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:218,"Du schon wieder? Na gut, hier nimm, aber mach keine Dummheiten damit, klar?",你还要？好吧，给，拿着，但是不要做傻事，明白吗？,,,DIA_Balor_RipOff_01_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:219,Würde ich nie wagen.,我不敢。,,,DIA_Balor_RipOff_15_04,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:235,Immer tüchtig weitersammeln!,继续努力采摘吧！,,,DIA_Balor_Perm.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:248,Immer tüchtig weitersammeln!,继续努力采摘吧！,,,DIA_Balor_Perm_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1304_Balor.d:249,"Na klar, was denkst du denn, was ich hier mache? Mir die Eier schaukeln?",当然，你以为我要做什么？,,,DIA_Balor_Perm_01_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:33,Was machst du hier?,你在这里做什么？,,,DIA_Joru_Greet.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:43,Was machst du hier?,你在这里做什么？,,,DIA_Joru_Greet_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:44,Ich verbreite die Lehre des Schläfers an die Novizen.,我在把沈睡者的说教讲给这些见习修士们听。,,,DIA_Joru_Greet_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:45,"Ich bin selbst noch Novize, aber bald bin ich ein Baal - einer der Gurus.",我自己还是一名见习修士，但是不久我就会成为一名巴尔，一名导师。,,,DIA_Joru_Greet_07_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:46,"Ich habe sogar schon mit Y'Berion geredet. Er ist der Auserwählte. Er hat mir gesagt, wenn ich hart an mir arbeite, bin ich bald selbst ein Meister.",我甚至还与 贝理昂说过话，他告诉我如果我努力工作，我很快就会成为自己的主人。,,,DIA_Joru_Greet_07_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:47,Aber ich schiebe das so'n bisschen vor mir her. Eilt ja nicht - verstehst du? Meister kann ich ja immer noch werden.,如今此事还在拖延着。没有快点的意思－－你明白吗？但是我还是可以成为一个主人的。,,,DIA_Joru_Greet_07_04,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:48,Im Moment bin ich ganz zufrieden mit meiner jetzigen Aufgabe.,此刻，我十分乐于做当前的事。,,,DIA_Joru_Greet_07_05,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:60,Was ist deine Aufgabe hier?,你的任务是什么？,,,DIA_Joru_Tester.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:73,Was ist deine Aufgabe hier?,你的任务是什么？,,,DIA_Joru_Tester_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:74,"Ich teste mit den Jungs hier die neuen Substanzen, die Cor Kalom in seinem Alchimielabor entwickelt.",我负责和我的朋友们一起检验寇尔卡隆实验室所需要的新东西。,,,DIA_Joru_Tester_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:75,Sein Gehilfe bringt alle paar Tage was Neues raus. Und wir testen es dann.,他的助手每隔几天会给我们一些新东西。于是我们就检验它们。,,,DIA_Joru_Tester_07_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:76,"Dieses Kraut öffnet deinen Geist. Wenn du die richtige Menge einnimmst, kannst du in Kontakt mit dem Schläfer treten.",沼泽烟草可以展现你的精神。如果你拿的数量很多，就能和沈睡者取得联系。,,,DIA_Joru_Tester_07_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:88,Hattest du schon Kontakt zum Schläfer?,你和沈睡者联系过吗？,,,DIA_Joru_SleeperContact.description,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:101,Hattest du schon Kontakt zum Schläfer?,你和沈睡者联系过吗？,,,DIA_Joru_SleeperContact_15_00,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:102,Nein. Bis jetzt noch nicht. Wir kriegen auch nie genug von dem Zeug.,没有。还没有。但那是因为我们从来没有得到过足够的沼泽烟草。,,,DIA_Joru_SleeperContact_07_01,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:103,"Kalom will zwar immer von mir wissen, wie die Wirkung war, aber ich habe den Eindruck, meine Meinung interessiert ihn gar nicht so sehr.",卡隆 总是想听听有关它的影响，但是在我的印像中，他对我的观点根本不是真正的感兴趣。,,,DIA_Joru_SleeperContact_07_02,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:104,"Wenn ich die Wirkung anregend fand, gibt er das Zeug direkt weiter an die Gurus ...",如果我找到了振奋精神的东西，他就会把它直接给导师．．．,,,DIA_Joru_SleeperContact_07_03,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:105,"Aber bald bin ich ja selber ein Guru, dann kann ich bis an meine Grenzen gehen und auch die Stimme des Schläfers vernehmen.",但是不久，我就会成为一名导师，那样我就能亲自聆听沈睡者的声音了。,,,DIA_Joru_SleeperContact_07_04,,
Scripts/content/Story/MISSIONS/DIA_Nov_1305_Joru.d:119,Ich will mich eurem Lager anschließen - kannst du mir dabei helfen?,我想加入你们的营地－－你能帮我吗？,,,DIA_Joru_JoinPsi.description,,
