Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:134,Du warst Sklave in der Mine? In welcher Mine?,你是矿坑的奴隶吗？哪一座矿坑？,,,Info_OrcShaman_MINE_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:135,Mine gewesen mit Dorf in Kessel darüber.,山谷里村庄的下面。,,,Info_OrcShaman_MINE_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:147,Warum kämpfen deine Stammesbrüder gegen dich?,为什么你的弟兄们要杀你？,,,Info_OrcShaman_WHY.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:160,Warum kämpfen deine Stammesbrüder gegen dich?,为什么你的弟兄们要杀你？,,,Info_OrcShaman_WHY_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:161,Ur-Shak gefallen in Ungnade.,因为乌尔夏克受人冷待。,,,Info_OrcShaman_WHY_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:162,Haben beschmutzt Ehrfurcht vor KRUSHAK.,反对克鲁夏克。,,,Info_OrcShaman_WHY_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:163,"Glauben, KRUSHAK seien böser Dämon.",相信克鲁夏克是坏魔鬼。,,,Info_OrcShaman_WHY_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:175,Was heißt KRUSHAK?,克鲁夏克是指什么？,,,Info_OrcShaman_KRUSHAK.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:188,Was heißt KRUSHAK?,克鲁夏克是指什么？,,,Info_OrcShaman_KRUSHAK_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:189,Menschen sagen SCHLAFEN.,人们称之为沈睡者？,,,Info_OrcShaman_KRUSHAK_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:190,Du meinst 'Schläfer'?,你们是指沈睡者？,,,Info_OrcShaman_KRUSHAK_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:191,"Ja, Menschen sagen SCHLÄFER!",是的，人们叫他沈睡者！,,,Info_OrcShaman_KRUSHAK_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:203,Was weißt du über den Schläfer?,你怎么知道沈睡者的？,,,Info_OrcShaman_SLEEPER.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:216,Was weißt du über den Schläfer?,你怎么知道沈睡者的？,,,Info_OrcShaman_SLEEPER_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:217,Fünf Brüder seien gewesen. Seien viiiiele Winter vorher!,许多年前，有五个兄弟！,,,Info_OrcShaman_SLEEPER_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:218,Waren Söhne von Geist wie Ur-Shak!,像乌尔夏克一样，是圣灵之子！,,,Info_OrcShaman_SLEEPER_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:219,Fünf Schamanen also!,你的意思是五个巫师!,,,Info_OrcShaman_SLEEPER_15_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:220,Haben gerufen KRUSHAK!,召唤克鲁夏克！,,,Info_OrcShaman_SLEEPER_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:221,Haben besiegen wollen Klan von Feind!,想击败部落的敌人！,,,Info_OrcShaman_SLEEPER_17_06,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:222,Fünf Brüder von damals haben gebaut Tempel in Erde für KRUSHAK!,然后五个兄弟就在克鲁夏克的洞穴下建造了一座神殿！,,,Info_OrcShaman_SLEEPER_17_07,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:223,Ein unterirdischer Tempel zu Ehren des Schläfers! Das muss Xardas gemeint haben mit 'unter der Ork-Stadt'!,一个沈睡者的地下寺庙? 那很可能是萨尔达斯所说的，当他谈到在兽人城市的入口处。,,,Info_OrcShaman_SLEEPER_15_08,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:235,Was passierte dann im Tempel unter der Erde?,接下来地下神殿发生了什么事？,,,Info_OrcShaman_CURSE.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:248,Was passierte dann im Tempel unter der Erde?,接下来地下神殿发生了什么事？,,,Info_OrcShaman_CURSE_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:249,Brüder von damals haben gegeben Herz für KRUSHAK.,然后，弟兄们就把心脏都给了克鲁夏克。,,,Info_OrcShaman_CURSE_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:250,"Aber KRUSHAK gewesen böse. KRUSHAK verfluchen alle, die bauen Tempel.",但是，克鲁夏克太坏了。他杀死了所有建造那座神殿的人。,,,Info_OrcShaman_CURSE_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:251,Brüder ohne Herz nun seien tot und lebendig. Seien beides.,兄弟们没有了心脏，全部死了。,,,Info_OrcShaman_CURSE_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:252,KRUSHAK haben Herz von Brüder. Herz seien Kraft für KRUSHAK.,克鲁夏克现在还有这些人的心脏。现在心脏是克鲁夏克的能量。,,,Info_OrcShaman_CURSE_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:253,"Was passierte mit den Arbeitern, die den Tempel erbauten?",那些建造那座神殿的工人们怎么了？,,,Info_OrcShaman_CURSE_15_06,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:254,KRUSHAK verfluchen alle. Auch die gewesen Arbeiter. Seien allen tot und lebendig.,克鲁夏克把他们全杀了。,,,Info_OrcShaman_CURSE_17_07,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:266,Haben die Orks an der Oberfläche nichts unternommen?,地面上的兽人们没有做什么吗？,,,Info_OrcShaman_OUTSIDE.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:279,Haben die Orks an der Oberfläche nichts unternommen?,地面上的兽人们没有做什么吗？,,,Info_OrcShaman_OUTSIDE_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:280,Haben verschlossen Tempel. Brüder von heute anbeten KRUSHAK.,他们封了神殿。而今天的弟兄们却在崇拜着克鲁夏克。,,,Info_OrcShaman_OUTSIDE_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:281,"KRUSHAK bekommen Opfer, damit nicht werden böse.",克鲁夏克得到了供奉，所以没有变坏。,,,Info_OrcShaman_OUTSIDE_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:282,Ur-Shak Opfer finden falsch. Haben gesagt KRUSHAK böse.,乌尔夏克认为供奉是件坏事。并说克鲁夏克很坏。,,,Info_OrcShaman_OUTSIDE_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:283,Brüder wollen nicht hören. Brüder sagen Ur-Shak gehen. Brüder schlagen Ur-Shak.,兄弟们不想听。他们说要赶走乌尔夏克。兄弟们攻击乌尔夏克。,,,Info_OrcShaman_OUTSIDE_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:295,Ich muss in den unterirdischen Tempel!,我必须进入地下神殿！你能带我去那儿吗？,,,Info_OrcShaman_INTEMPLE.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:308,Ich muss in den unterirdischen Tempel! Kannst du mich dorthin bringen?,我必须进入地下神殿！你能带我去那儿吗？,,,Info_OrcShaman_INTEMPLE_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:309,Ur-Shak sagen Dank zu Fremder. Fremder retten Ur-Shak.,乌尔夏克很感激陌生人。因为陌生人救了乌尔夏克。,,,Info_OrcShaman_INTEMPLE_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:310,Aber Eingang von Tempel in Heimat. Ur-Shak nicht können gehen Heimat.,但是神殿的入口在家中。而乌尔夏克无家可回。,,,Info_OrcShaman_INTEMPLE_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:311,Ur-Shak glauben,我明白了，你的意思是说他们不让你返回到兽人城市中去，对吗？,,,Info_OrcShaman_INTEMPLE_15_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:323,"Kannst du mir sagen, wo auf meiner Karte hier die Orkstadt ist?",你能给我指出，兽人城镇在地图上的位置吗？,,,Info_OrcShaman_MAP.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:337,"Kannst du mir sagen, wo auf meiner Karte hier die Orkstadt ist?",你能给我指出，兽人城镇在地图上的位置吗？,,,Info_OrcShaman_MAP_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:338,"Heimat von Ur-Shak seien, wo Karte nicht bemalt.",乌尔夏克的家没有在地图上标出。,,,Info_OrcShaman_MAP_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:339,"Fremder geben Karte, dann Ur-Shak machen Karte fertig!",陌生人给我地图，乌尔夏克给你标出！,,,Info_OrcShaman_MAP_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:340,(kritzelt herum),（在地图上标记）,,,Info_OrcShaman_MAP_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:341,"Erstaunlich, du bist ein guter Kartenzeichner. Danke!",真是令人惊讶，你是一名很好的绘图者。谢谢！,,,Info_OrcShaman_MAP_15_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:358,"Nun, dann muss ich mir den Weg wohl freikämpfen!",好，看起来我必须自己去战斗了！,,,Info_OrcShaman_FIGHT.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:371,"Nun, dann muss ich mir den Weg wohl freikämpfen!",好，看起来我必须自己去战斗了！,,,Info_OrcShaman_FIGHT_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:372,Brüder in Heimat seien sehr stark! Brüder seien seeeehr viele!,兄弟们的家很大！而且兄弟们有很多人！,,,Info_OrcShaman_FIGHT_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:373,Fremder nicht gehen. Viele Krieger! Fremder sterben!,陌生人不要去。那里有许多战士！,,,Info_OrcShaman_FIGHT_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:374,"Andere Söhne von Geist in Heimat. Machen Fremder Feuer, dann Fremder sterben!",其他圣灵之子都在那里。不要去自寻死路吧！,,,Info_OrcShaman_FIGHT_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:386,"Okay, okay, aber ich muss einen Weg in den Tempel finden!",好吧，但是我必须找到一条进入神殿的路！,,,Info_OrcShaman_OTHERWAY.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:399,"Okay, okay, aber ich muss einen Weg in den Tempel finden!",好吧，好吧，但是我必须找到一条进入神殿的路！,,,Info_OrcShaman_OTHERWAY_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:400,Ur-Shak kennen Weg! Fremder tragen ULU-MULU!,乌尔夏克认识路！陌生人戴上乌卢刀！,,,Info_OrcShaman_OTHERWAY_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:401,ULU-MULU??? Was ist ein Ulu-Mulu?,乌卢刀？？？乌卢刀是什么？,,,Info_OrcShaman_OTHERWAY_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:402,Seien Standarte der Freundschaft! Brüder respektieren ULU-MULU!,是友谊的标志！弟兄们敬重乌卢刀！,,,Info_OrcShaman_OTHERWAY_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:403,"Fremder tragen ULU-MULU, dann Fremder nicht sterben!",戴上乌卢刀，陌生人就不会死！,,,Info_OrcShaman_OTHERWAY_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:415,Wo bekomme ich ein solches Ulu-Mulu her?,我在哪儿能找到乌卢刀？,,,Info_OrcShaman_ULUMULU.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:428,Wo bekomme ich ein solches Ulu-Mulu her?,我在哪儿能找到乌卢刀？,,,Info_OrcShaman_ULUMULU_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:429,Fremder gehen zu Freund von Ur-Shak!,去找乌尔夏克的朋友！,,,Info_OrcShaman_ULUMULU_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:430,"Freund von Ur-Shak geben ULU-MULU! Fremder tragen ULU-MULU, dann Fremder nicht sterben!",乌尔夏克的朋友会给你乌卢刀！戴上乌卢刀，陌生人就不会死！,,,Info_OrcShaman_ULUMULU_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:431,"Ja, ja, das mit dem 'nicht sterben' habe ich verstanden, aber wo finde ich deinen Freund?",是的，是的，我不会死的，但是我在哪儿能找到你的朋友？,,,Info_OrcShaman_ULUMULU_15_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:432,Freund von Ur-Shak seien in Mine von Menschen. Freund damals nicht laufen weg mit Ur-Shak. Freund damals gewesen krank.,乌尔夏克的朋友在人类的矿坑里。他没有和乌尔夏克一起逃跑。现在他病了。,,,Info_OrcShaman_ULUMULU_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:437,Warst du in der Freien Mine gefangen?,你是自由矿坑的囚犯吗？,,,Info_OrcShaman_ULUMULU.Info_OrcShaman_ULUMULU_FM,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:438,Warst du in der Verlassenen Mine gefangen?,你是废弃了的矿坑里的囚犯吗？,,,Info_OrcShaman_ULUMULU.Info_OrcShaman_ULUMULU_VM,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:439,Warst du in der Alten Mine gefangen?,你是旧矿坑的囚犯吗？,,,Info_OrcShaman_ULUMULU.Info_OrcShaman_ULUMULU_AM,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:444,Warst du in der verlassenen Mine gefangen?,你是废弃了的矿坑里的囚犯吗？,,,Info_OrcShaman_ULUMULU_15_08,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:445,Ur-Shak nicht kennen Wort.,乌尔夏克听不懂话。,,,Info_OrcShaman_ULUMULU_17_09,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:450,Warst du in der Alten Mine gefangen?,你是旧矿坑的囚犯吗？,,,Info_OrcShaman_ULUMULU_15_10,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:451,Ur-Shak nicht verstehen!,乌尔夏克听不懂！,,,Info_OrcShaman_ULUMULU_17_11,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:456,Warst du in der Freien Mine gefangen?,你是自由矿坑的囚犯吗？,,,Info_OrcShaman_ULUMULU_15_12,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:457,Ur-Shak gefangen in Mine unter Dorf in Kessel.,乌尔夏克囚犯在山谷下面的矿里。,,,Info_OrcShaman_ULUMULU_17_13,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:458,"Ur-Shak glauben, Menschen nennen so!",乌尔夏克认为人们是那样说的！,,,Info_OrcShaman_ULUMULU_17_14,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:472,Danke für deine Hilfe!,谢谢您的帮忙！,,,Info_OrcShaman_BYEBYE.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:485,Danke für deine Hilfe!,谢谢您的帮忙！,,,Info_OrcShaman_BYEBYE_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:486,Ur-Shak danken Fremder. Fremder retten Ur-Shak. Fremder nun Freund von Ur-Shak!,乌尔夏克谢谢陌生人了。陌生人救了乌尔夏克。现在陌生人是乌尔夏克的朋友！,,,Info_OrcShaman_BYEBYE_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:487,Freund nehmen Geschenk. Nehmen Talismann von Ur-Shak! Talisman schützen vor Atem von Feuerwaran!,请朋友带上乌尔夏克的礼物护身符！护身符能保护你免遭火蜥蜴的毒害！,,,Info_OrcShaman_BYEBYE_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:488,"Ur-Shak nicht können gehen Heimat. Ur-Shak nun hier wohnen! Freund kommen, wenn brauchen Hilfe!",乌尔夏克不能回家。乌尔夏克现在只能生活在这儿！需要帮助时，再回来找我！,,,Info_OrcShaman_BYEBYE_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:489,Vielleicht werde ich auf dein Angebot zurückkommen!,我可以接受你的提议！,,,Info_OrcShaman_BYEBYE_15_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:505,"Wie geht es dir, mein Freund?",你怎么样了，我的朋友？,,,Info_OrcShaman_FRIENDLYHELLO.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:519,"Wie geht es dir, mein Freund?",你怎么样了，我的朋友？,,,Info_OrcShaman_FRIENDLYHELLO_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:520,Ur-Shak seien gesund!,乌尔夏克很健康！,,,Info_OrcShaman_FRIENDLYHELLO_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:521,Ur-Shak suchen eigenes ULU-MULU!,乌尔夏克现在正在找自己的乌卢刀！,,,Info_OrcShaman_FRIENDLYHELLO_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:522,Vielleicht Ur-Shak gehen Heimat mit eigenes ULU-MULU!,也许乌尔夏克会带着自己的乌卢刀回家！,,,Info_OrcShaman_FRIENDLYHELLO_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:523,"Freund kommen, wenn brauchen Hilfe!",需要帮助时，再回来找我！,,,Info_OrcShaman_FRIENDLYHELLO_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:524,Pass auf dich auf!,小心！,,,Info_OrcShaman_FRIENDLYHELLO_15_06,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:560,Ur-Shak grüßen Freund!,乌尔夏克向朋友问好！,,,Info_OrcShaman_ORCCITY_17_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:564,Freund haben ULU-MULU! Seien gut!,朋友拿到乌卢刀了！很好！,,,Info_OrcShaman_ORCCITY_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:565,"Freund nicht vergessen tragen ULU-MULU in Hand, wenn gehen über Brücke!",朋友，过桥时不要忘了拿着乌卢刀！,,,Info_OrcShaman_ORCCITY_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:569,Freund haben kein ULU-MULU! Nicht gut!,朋友没有拿到乌卢刀！不好！,,,Info_OrcShaman_ORCCITY_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:570,"Freund nicht gehen über Brücke, sonst sterben!",朋友没有过桥！,,,Info_OrcShaman_ORCCITY_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:583,Was machst du hier so nah am Dorf?,你离城镇这么近做什么？,,,Info_OrcShaman_YOUHERE.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:596,Was machst du hier so nah am Dorf?,你离城镇这么近做什么？,,,Info_OrcShaman_YOUHERE_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:597,Ur-Shak beobachten Brüder in Heimat!,乌尔夏克很挂念家里的弟兄们！,,,Info_OrcShaman_YOUHERE_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:598,"Ur-Shak glauben, KRUSHAK bald aufwachen!",乌尔夏克相信克鲁夏克不久就会醒来！,,,Info_OrcShaman_YOUHERE_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:599,"Ur-Shak hier warten und kämpfen gegen KRUSHAK, wenn erwacht!",乌尔夏克等在这儿，当克鲁夏克醒来时与之决战！,,,Info_OrcShaman_YOUHERE_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:600,"Der Schläfer wird bald erwachen??? Ich hoffe, du liegst falsch!",沈睡者不久就会醒了？？？我希望你错了！,,,Info_OrcShaman_YOUHERE_15_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:601,"Bei allem, was ich bisher über diesen Erzdämon gehört habe, ist er mir schlafend bedeutend lieber!",考虑到迄令为止我所听到了关于魔鬼的坏事，我宁愿他不会醒来！,,,Info_OrcShaman_YOUHERE_15_06,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:613,"Du erzähltest mir, dass deine Brüder den Tempel verschlossen haben!",上一次相遇时，你告诉我你的兄弟们已经锁了神殿！,,,Info_OrcShaman_SEAL.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:626,"Bei unserem letzten Treffen erzähltest du, dass deine Brüder den Tempel verschlossen haben!",上一次相遇时，你告诉我你的兄弟们已经锁了神殿！,,,Info_OrcShaman_SEAL_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:627,Brüder von Ur-Shak haben verschlossen Tempel in Erde sehr gut!,乌尔夏克的弟兄们封了神殿，很好！,,,Info_OrcShaman_SEAL_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:628,Freund nicht können gehen hinein!,朋友不能进去！,,,Info_OrcShaman_SEAL_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:629,"Freund müssen benutzen Zauber von Brüder, die seien Söhne von Geist wie Ur-Shak!",朋友可以使用圣灵之子的魔法！,,,Info_OrcShaman_SEAL_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:641,Wo finde ich diesen Zauber?,在哪儿能找到这种魔法？,,,Info_OrcShaman_SCROLL.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:654,Wo finde ich diesen Zauber?,在哪儿能找到这种魔法？,,,Info_OrcShaman_SCROLL_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:655,"Müssen gehen in Höhle von Brüder, die seien Söhne von Geist wie Ur-Shak!",必须进入圣灵之子乌尔夏克的弟兄们的洞穴！,,,Info_OrcShaman_SCROLL_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:656,"Aber Freund müssen aufpassen, wenn benutzen Zauber!",但是朋友在使用魔法时一定要慎重！,,,Info_OrcShaman_SCROLL_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:657,"Brüder von Ur-Shak nicht mögen! ULU-MULU nicht helfen, wenn Freund benutzen Zauber!",乌尔夏克的兄弟们不喜欢！当朋友使用魔法时，乌卢刀没有用处！,,,Info_OrcShaman_SCROLL_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:671,Gibt es noch einen anderen Weg in den Tempel?,有其他进入神殿的路吗？,,,Info_OrcShaman_IDOL.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:691,Freund haben gefunden Figur auf Säule!,朋友已经发现了圆柱上的图案！,,,Info_OrcShaman_IDOL_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:692,Freund nun können öffnen Tor zu Tempelhalle!,现在，朋友可以撕开神殿大厅的门了！,,,Info_OrcShaman_IDOL_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:698,Freund müssen nehmen Figur von große Säule!,现在你必须得到它们！,,,Info_OrcShaman_IDOL_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:699,Figur öffnen Tor zu Tempelhalle!,现在用它打开神殿大厅的门吧！,,,Info_OrcShaman_IDOL_17_06,,
